Sep-05	126
Oct-05	72
Nov-05	150.5
Dec-05	89
Jan-06	132
Feb-06	89
Mar-06	116.5
Apr-06	95
May-06	45
Jun-06	77
Jul-06	106.5
Aug-06	36.5
Sep-06	57.5
Oct-06	90.5
Nov-06	182
Dec-06	118
Jan-07	112
Feb-07	111.5
Mar-07	91
Apr-07	57.5
May-07	87
Jun-07	38
Jul-07	45
Aug-07	65.5
Sep-07	193.5
Oct-07	66.5
Nov-07	75
Dec-07	86
Jan-08	111
Feb-08	111
Mar-08	32
Apr-08	6
May-08	65.5
Jun-08	40
Jul-08	63.5
Aug-08	56
Sep-08	30.5
Oct-08	99.5
Nov-08	86
Dec-08	142
Jan-09	103
Feb-09	143
Mar-09	79
Apr-09	58
May-09	42.5
Jun-09	50
Jul-09	187.5
Aug-09	63
Sep-09	35.5
Oct-09	125
Nov-09	154
Dec-09	106.5
Jan-10	112
Feb-10	59.5
Mar-10	79.5
Apr-10	67.5
May-10	44.5
Jun-10	73
Jul-10	143.5
Aug-10	213.5
Sep-10	92
Oct-10	130.5
Nov-10	194.5
Dec-10	115
Jan-11	120
Feb-11	69.5
Mar-11	60.5
Apr-11	69.5
May-11	56.5
Jun-11	43
Jul-11	129
Aug-11	109
Sep-11	257.5
Oct-11	146
Nov-11	86
Dec-11	107
Jan-12	71.5
Feb-12	57
Mar-12	44.5
Apr-12	34.5
May-12	83.5
Jun-12	51.5
Jul-12	81.5
Aug-12	121
Sep-12	191
Oct-12	115
Nov-12	219
Dec-12	209
Jan-13	101.5
Feb-13	117
Mar-13	108
Apr-13	115
May-13	61.5
Jun-13	62
Jul-13	54.5
Aug-13	183.5
Sep-13	173
Oct-13	131
Nov-13	116
Dec-13	124
Jan-14	111.5
Feb-14	89
Mar-14	64
Apr-14	24
May-14	60
Jun-14	99
Jul-14	76.5
Aug-14	217.5
Sep-14	146
Oct-14	124
Nov-14	64
Dec-14	128
Jan-15	143.5
Feb-15	59.5
Mar-15	125.5
Apr-15	90
May-15	37
Jun-15	66.5
Jul-15	64
Aug-15	131.5
Sep-15	198
Oct-15	98
Nov-15	137
Dec-15	124
Jan-16	74
Feb-16	109.5
Mar-16	60.5
Apr-16	58.5
May-16	40.5
Jun-16	112.5
Jul-16	118.5
Aug-16	279
Sep-16	107
Oct-16	78
Nov-16	115.5
Dec-16	206.5
Jan-17	72.5
Feb-17	57.5
Mar-17	75.5
Apr-17	65.5
May-17	57.5
Jun-17	168.5
Jul-17	75.5
Aug-17	78.5
Sep-17	187
Oct-17	114
Nov-17	129
Dec-17	77
Jan-18	99.5
Feb-18	43
Mar-18	115.5
Apr-18	36.5
May-18	66
Jun-18	141.5
Jul-18	155.5
Aug-18	228.5
Sep-18	49.5
Oct-18	187
Nov-18	73
Dec-18	86.5

