,ŽD–y,ŽD–y,ŽD–y,ŽD–y
Dec-95,180.5,0,8,1
Jan-96,157,0,8,1
Feb-96,77.5,0,8,1
Mar-96,73,0,8,1
Apr-96,30,0,8,1
May-96,88,0,8,1
Jun-96,29,0,8,1
Jul-96,88.5,0,8,1
Aug-96,85.5,0,8,1
Sep-96,124.5,0,8,1
Oct-96,153,0,8,1
Nov-96,96,0,8,1
Dec-96,97,0,8,1
Jan-97,49.5,0,8,1
Feb-97,120,0,8,1
Mar-97,59.5,0,8,1
Apr-97,15.5,0,8,1
May-97,74,0,8,1
Jun-97,21,0,8,1
Jul-97,81,0,8,1
Aug-97,188,0,8,1
Sep-97,131,0,8,1
Oct-97,82.5,0,8,1
Nov-97,117,0,8,1
Dec-97,76,0,8,1
Jan-98,108.5,0,8,1
Feb-98,69,0,8,1
Mar-98,83,0,8,1
Apr-98,28.5,0,8,1
May-98,58,0,8,1
Jun-98,83,0,8,1
Jul-98,71,0,8,1
Aug-98,88.5,0,8,1
Sep-98,218,0,8,1
Oct-98,76,0,8,1
Nov-98,137.5,0,8,1
Dec-98,134,0,8,1
Jan-99,135,0,8,1
Feb-99,84,0,8,1
Mar-99,86,0,8,1
Apr-99,32.5,0,8,1
May-99,93.5,0,8,1
Jun-99,32.5,0,8,1
Jul-99,154.5,0,8,1
Aug-99,103,0,8,1
Sep-99,107.5,0,8,1
Oct-99,80.5,0,8,1
Nov-99,75.5,0,8,1
Dec-99,110,0,8,1
Jan-00,131.5,0,8,1
Feb-00,89.5,0,8,1
Mar-00,103,0,8,1
Apr-00,123.5,0,8,1
May-00,76,0,8,1
Jun-00,50.5,0,8,1
Jul-00,194,0,8,1
Aug-00,103.5,0,8,1
Sep-00,307,0,8,1
Oct-00,24.5,0,8,1
Nov-00,140,0,8,1
Dec-00,101.5,0,8,1
Jan-01,71,0,8,1
Feb-01,64,0,8,1
Mar-01,83,0,8,1
Apr-01,28,0,8,1
May-01,17,0,8,1
Jun-01,42,0,8,1
Jul-01,111,0,8,1
Aug-01,135,0,8,1
Sep-01,237.5,0,8,1
Oct-01,86.5,0,8,1
Nov-01,83,0,8,1
Dec-01,167,0,8,1
Jan-02,150,0,8,1
Feb-02,60.5,0,8,1
Mar-02,45,0,8,1
Apr-02,30.5,0,8,1
May-02,41,0,8,1
Jun-02,64.5,0,8,1
Jul-02,128,0,8,1
Aug-02,102.5,0,8,1
Sep-02,87.5,0,8,1
