2001	587	225	198	737	337	491	137.5	94.5	1174	535.5	182.5	229
2002	350.5	100.5	375.5	291	343.5	827.5	648	177	141	247	433	663
2003	187	219.5	354	237	407	859.5	143.5	253	247	252	431	233
2004	423	144	226.5	302.5	620	689.5	81	554.5	348	782	246	338
2005	391.5	531.5	251	235.5	363.5	1067	240	209	467.5	263	128	345
2006	356.5	275	367	349	894	1063.5	163.5	136.5	210.5	24	483	351.5
2007	257	349	379.5	389	547	482.5	667	343.5	214.5	122	279.5	288.5
2008	180	172	140.5	349	648	1043.5	67	432.5	923.5	330	270.5	202.0 
2009	381.5	220.5	462	400.5	110	336	135.5	58.5 	116	285.5	587.5	422.0 
2010	124.5	614.5	487.5	668	355	1158	651.5	185.5	300	375.5	159	268.5
2011	284.5	480.0 	94.0 	190.5	886.5	684.0 	343.0 	113.5	336	785	522	235.5
2012	343.5	295.5	387	708.5	175	1216.5	299	342.5	596	120.5	287	342.5
2013	195	179	280	303.5	157	795	13.5	108	130	180.5	347.5	437
2014	97	607.5	695.5	241.5	338.5	1056.5	400	312	708	351	379.5	406
2015	254	159	250.5 	343	585.5	1023.5	929.5	361.5 	466.5	108	349.5	326.5
2016	328.5	509.5	285.5	745.5	597.5	443.5	516.5	49	463.5	617	239	142.5
2017	192	127	391.0 	376	333.5	910.0 	193	354	787	580	376.5	175
2018	268.5	268	236.5	273.5	524.5	1080	384	214.5	707	164.5	215.5	207.5

